mes,NomBandeiraAcionada,nivel,ena_pct_mlt_nordeste,ena_pct_mlt_norte,ena_pct_mlt_sudeste,ena_pct_mlt_sul,ena_nacional_mwmed,ena_nacional_pct_mlt_media_subsis,novas_conexoes,potencia_nova_kw,potencia_acumulada_kw,potencia_acumulada_mw,conexoes_acumuladas
2015-01,Vermelha P1,2,28.426451652580646,60.6590322683871,39.983548502580646,206.98612828419357,1480005.0,84.01379017693549,54,419.2,5231.65,5.231649999999999,497
2015-02,Vermelha P1,2,29.22357126642857,56.5396431525,59.78357151607143,138.659643445,1623730.0,71.05160734500001,34,350.88,5582.53,5.582529999999999,531
2015-03,Vermelha P1,2,39.48645148709677,69.73129075612903,78.87999922225806,112.40612940645161,2086250.0,75.12596771798387,48,236.05,5818.58,5.81858,579
2015-04,Vermelha P1,2,58.022000122,82.96133397499999,89.49366658533333,106.189665858,1903752.0,84.16666663508335,55,313.08,6131.66,6.13166,634
2015-05,Vermelha P1,2,60.35741929096774,111.00645126870967,100.18096751580646,78.03064457032258,1628514.0,87.39387066145161,89,577.98,6709.639999999999,6.709639999999999,723
2015-06,Vermelha P1,2,54.743332926,97.55966695133334,89.00299936866666,130.91933428433333,1337017.0,93.05633338258333,55,473.47,7183.11,7.18311,778
2015-07,Vermelha P1,2,51.7899998083871,84.64903185483871,132.98064422612902,254.75871178387098,1903079.0,131.04459691830644,107,1165.26,8348.369999999999,8.34837,885
2015-08,Vermelha P1,2,51.24193523838709,77.59774226483871,90.43419327322582,79.9864516716129,861964.0,74.81508061201613,125,573.36,8921.73,8.92173,1010
2015-09,Vermelha P1,2,45.775000382,66.001666514,119.280000305,114.63133214366667,1115125.0,86.42199983616666,128,1044.81,9966.539999999999,9.966539999999998,1138
2015-10,Vermelha P1,2,31.807742026451614,62.14935450451613,94.46483907387098,227.05741857741936,1636638.0,103.86983854556452,155,909.57,10876.109999999999,10.876109999999999,1293
2015-11,Vermelha P1,2,19.611333498,47.982000097,118.169666545,199.92566579233335,1602088.0,96.42216648308333,174,2261.89,13137.999999999998,13.137999999999998,1467
2015-12,Vermelha P1,2,31.851290549032257,27.351290180967744,102.80483910387098,286.9593550158064,2149665.0,112.24169371241936,254,1709.16,14847.159999999998,14.847159999999999,1721
2016-01,Vermelha P1,2,53.14612899290322,50.74161252645162,127.74516148741935,197.93612941580645,3322484.0,107.39225810564515,263,1852.53,16699.69,16.69969,1984
2016-02,Vermelha P2,3,94.87482754896551,69.2893097975862,87.48275914655173,163.99758516551722,2767671.0,103.91112041465517,325,1917.62,18617.309999999998,18.617309999999996,2309
2016-03,Amarela,1,33.74903180548387,56.58612885032258,99.43806408322581,208.27354849548388,2885754.0,99.51169330862903,405,2530.13,21147.44,21.14744,2714
2016-04,Verde,0,23.461666680333334,50.224999873,72.75300000399999,145.92166671733332,1731208.0,73.09033331866667,397,2582.84,23730.28,23.73028,3111
2016-05,Verde,0,23.57419358516129,39.0487095616129,89.62225809290324,125.31838718677419,1568593.0,69.3908871066129,521,3422.77,27153.05,27.15305,3632
2016-06,Verde,0,31.157000096666664,41.985666529333336,120.54100011233332,93.07633349066667,1538469.0,71.69000005725,907,4925.9,32078.949999999997,32.07895,4539
2016-07,Verde,0,32.34193543483871,49.943548632580644,91.29032233354839,95.42258010354838,1124841.0,67.24959662612903,489,3310.56,35389.509999999995,35.389509999999994,5028
2016-08,Verde,0,38.287742122903225,46.22774198,104.24741929548387,112.0564513667742,1086280.0,75.20483869129032,576,3730.49,39119.99999999999,39.11999999999999,5604
2016-09,Verde,0,38.23066698733333,55.438666407,95.25999933833333,74.90266710966667,890643.0,65.95799996058334,536,4516.47,43636.469999999994,43.636469999999996,6140
2016-10,Verde,0,40.50709681354839,53.93741939903226,85.15096799838709,92.48483787064517,1077630.0,68.02008052040323,494,4687.09,48323.56,48.32356,6634
2016-11,Amarela,1,38.626999727,52.72366638166667,88.42499999933334,71.18033358366667,1129172.0,62.73899992291667,535,4643.79,52967.35,52.967349999999996,7169
2016-12,Verde,0,56.6080648367742,50.17483902064516,78.40870986451613,98.35225751258065,1636981.0,70.88596780862903,790,5770.88,58738.229999999996,58.738229999999994,7959
2017-01,Verde,0,29.796451752903224,42.027742263225804,68.45645178548386,155.57709798548387,1988058.0,73.9644359467742,620,4611.31,63349.53999999999,63.34953999999999,8579
2017-02,Verde,0,33.878928730357146,77.62535762821429,71.70142855035714,101.3378568382143,2063975.0,71.13589293678571,641,4186.68,67536.22,67.53622,9220
2017-03,Amarela,1,24.509677333225806,84.49516074870968,68.16645148451613,84.2080644183871,2149658.0,65.34483849620968,826,6205.28,73741.5,73.7415,10046
2017-04,Vermelha P1,2,23.770666789333333,74.153333537,73.606666311,83.01466623933334,1804531.0,63.636333219166666,674,6439.48,80180.98,80.18097999999999,10720
2017-05,Vermelha P1,2,23.270967975483874,60.92064531419355,100.1903221383871,165.5893542383871,1925184.0,87.4928224166129,897,9402.3,89583.28,89.58328,11617
2017-06,Verde,0,32.72333329533333,60.11033350666666,106.45000025433333,268.708664958,2029406.0,116.99808300358333,1079,8824.26,98407.54,98.40754,12696
2017-07,Amarela,1,32.86838703806452,60.448709550322576,79.54483942935484,38.36322587516129,865611.0,52.80629047322581,1118,8863.62,107271.15999999999,107.27116,13814
2017-08,Vermelha P1,2,35.65451591225807,58.32806470258065,85.42612851032258,51.03774236903226,783057.0,57.61161287354839,1316,13780.76,121051.91999999998,121.05191999999998,15130
2017-09,Amarela,1,33.964333407,59.347000249666664,65.82933298666667,23.022000186333333,533104.0,45.54066670741667,1155,13547.95,134599.87,134.59986999999998,16285
2017-10,Vermelha P2,3,25.993548300645163,50.68999973387097,68.24548413548386,80.57645071774193,890023.0,56.37637072193549,1327,13489.26,148089.13,148.08913,17612
2017-11,Vermelha P2,3,29.913999811666667,58.50466690066666,102.751332855,126.67300084433333,1412361.0,79.46075010291666,1780,16141.93,164231.06,164.23105999999999,19392
2017-12,Vermelha P1,2,58.701612780322584,74.61903172193549,95.10064598903226,85.99225751774193,1903629.0,78.60338700225806,1763,19877.56,184108.62,184.10862,21155
2018-01,Verde,0,39.54881631129032,63.433577752580646,96.90633515483871,187.7614285867742,2733781.99047863,96.91253945137096,1907,17362.22,201470.84,201.47084,23062
2018-02,Verde,0,46.890382698928576,106.91025665892857,83.20047487571428,86.51299953392856,2466695.16699232,80.878528441875,1681,25329.8,226800.63999999998,226.80064,24743
