trimestre,nivel_max,nivel_medio,ena_medio,ena_sudeste_medio,potencia_fim_trimestre_mw,crescimento_solar_trim_pct
2015Q1,2,2.0,76.73045507997313,59.549039746970045,5.81858,
2015Q2,2,2.0,88.2056235597061,92.89254448993547,7.18311,23.45125442977496
2015Q3,2,2.0,97.42722578882974,114.23161260145162,9.966539999999998,38.74965022114374
2015Q4,2,2.0,104.17789958035574,105.14644824091398,14.847159999999999,48.97005380001487
2016Q1,3,2.0,103.60502394297646,104.88866157239897,21.14744,42.434243316566956
2016Q2,0,0.0,71.39040682750986,94.30541940307886,32.07895,51.69188327286896
2016Q3,0,0.0,69.47081175933424,96.9325803224552,43.636469999999996,36.028361277410866
2016Q4,1,0.3333333333333333,67.21501608398297,83.99489262074552,58.738229999999994,34.60811564271813
2017Q1,1,0.3333333333333333,70.14838912658986,69.44144394011904,73.7415,25.542598066029587
2017Q2,2,1.3333333333333333,89.37574621312096,93.41566290124014,98.40754,33.44933314348093
2017Q3,2,1.3333333333333333,51.98619001806362,76.93343364211471,134.59986999999998,36.7780050187211
2017Q4,3,2.6666666666666665,71.4801692757034,88.69915432650538,184.10862,36.78216776880989
2018Q1,0,0.0,86.9616106200336,89.5899947740553,249.72206999999997,35.638445391638896
2018Q2,3,1.3333333333333333,63.89811970578584,81.32301800203942,329.17911,31.818188916982805
2018Q3,3,3.0,64.03484915075985,78.24176655704301,436.74129999999997,32.67588578145193
2018Q4,3,1.3333333333333333,91.92190339917384,110.81156850532257,586.926,34.387565361920224
2019Q1,0,0.0,72.79153690040035,75.48087237389016,781.87195,33.21474087022893
2019Q2,1,0.3333333333333333,95.0621524644319,96.44868337424731,1045.80119,33.756069647977526
2019Q3,2,1.6666666666666667,60.53115354162545,78.4737467861577,1422.70024,36.039263829868084
2019Q4,2,1.3333333333333333,57.8978659214086,67.7775410218208,1939.48765,36.32440590577255
2020Q1,1,0.3333333333333333,71.36976760759732,94.27491804327771,2538.82494,30.901835853401806
2020Q2,0,0.0,79.31189402284407,81.21880338140859,2992.6200099999996,17.874216644492225
2020Q3,0,0.0,82.13261118717384,76.8681113750251,3572.41045,19.374007995087904
2020Q4,3,1.0,61.92959672700179,58.7719421255233,4361.146650000001,22.07854363431281
2021Q1,1,1.0,78.67729854028609,72.34660537561444,5212.3781,19.518523872614992
2021Q2,3,2.0,55.12618502758065,64.30740259043728,6094.11608,16.916232151309195
2021Q3,4,3.3333333333333335,57.546037191001794,59.07164405940143,7242.649130000001,18.846589643563227
2021Q4,4,4.0,91.92819189862904,92.12897335573477,8714.070210000002,20.316061893778368
2022Q1,4,4.0,112.07467086656395,98.55229287253455,10256.146920000001,17.69639987787062
2022Q2,4,1.3333333333333333,107.93386247552509,72.44257516716488,12054.377570000002,17.533199007644495
2022Q3,0,0.0,85.05074151005914,75.52859408182796,14222.337850000004,17.98483801764641
2022Q4,0,0.0,98.92369456989248,90.3549629430645,16729.971070000003,17.631652731410806
2023Q1,0,0.0,101.28396489018719,108.68220508904379,19735.781690000003,17.966621743835454
2023Q2,0,0.0,78.00504582522939,95.67656473193189,21886.391630000002,10.897009167312067
2023Q3,0,0.0,87.32439091257437,89.1056395932258,23429.990510000003,7.0527792159405855
2023Q4,0,0.0,126.63945771441308,79.36848522455556,25320.99463,8.070870191743818
2024Q1,0,0.0,75.63645864420745,61.3496722190063,27715.653250000003,9.457205986540673
2024Q2,0,0.0,100.10766895625807,66.77518952110752,30348.31612,9.498830304495876
2024Q3,2,1.0,61.54287344194714,55.1297013956595,33026.03644,8.823291247567266
2024Q4,3,1.3333333333333333,82.76156297241307,89.51595993549104,35812.4046,8.43688332101895
2025Q1,0,0.0,82.17976530337943,81.19242284946237,38363.91564,7.124657136259427
2025Q2,2,1.0,71.0697416218638,83.74964347670252,40744.786009999996,6.206015028136469
2025Q3,3,2.6666666666666665,71.87967242831542,70.61433437275986,42957.91030999999,5.431674863764968
2025Q4,2,1.6666666666666667,61.574996666666664,68.43795989247312,45146.188109999996,5.094004303767541
2026Q1,0,0.0,74.11794518049156,81.17650284178187,47174.905949999986,4.493663640121648
2026Q2,1,0.6666666666666666,76.73223596774193,87.688179390681,48673.27059999999,3.176190009977131
2026Q3,1,1.0,115.10676549235993,96.82707487266553,48776.85162999999,0.21280885529808558
